/A X,/A Y,/nand_AB X,/nand_AB Y,/nand_1B X,/nand_1B Y,/nand_A1 X,/nand_A1 Y
0.5500000000000003,0.5500000000000003,0.5500000000000003,1.796074723188936,0.5500000000000003,1.780292574065228,0.5500000000000003,1.782721404259361
0.5600000000000003,0.5600000000000003,0.5600000000000003,1.795417836400936,0.5600000000000003,1.77745878883866,0.5600000000000003,1.779956393975915
0.5700000000000003,0.5700000000000003,0.5700000000000003,1.794683179633807,0.5700000000000003,1.774356267335871,0.5700000000000003,1.776875093495422
0.5800000000000003,0.5800000000000003,0.5800000000000003,1.793866145717839,0.5800000000000003,1.770973709970545,0.5800000000000003,1.773457312534815
0.5900000000000003,0.5900000000000003,0.5900000000000003,1.792962143731232,0.5900000000000003,1.767299186681204,0.5900000000000003,1.769681947603795
0.6000000000000003,0.6000000000000003,0.6000000000000003,1.791966567122144,0.6000000000000003,1.763319804457242,0.6000000000000003,1.765526598540419
0.6100000000000003,0.6100000000000003,0.6100000000000003,1.790874757770359,0.6100000000000003,1.759021335369737,0.6100000000000003,1.760967096822307
0.6200000000000003,0.6200000000000003,0.6200000000000003,1.789681965977285,0.6200000000000003,1.754387792107762,0.6200000000000003,1.75597692128991
0.6300000000000003,0.6300000000000003,0.6300000000000003,1.788383305866623,0.6300000000000003,1.749400932829416,0.6300000000000003,1.750526466776081
0.6400000000000003,0.6400000000000003,0.6400000000000003,1.786973705328917,0.6400000000000003,1.744039670400289,0.6400000000000003,1.744582117220165
0.6500000000000004,0.6500000000000004,0.6500000000000004,1.785447849396228,0.6500000000000004,1.738279351692593,0.6500000000000004,1.73810505442642
0.6600000000000004,0.6600000000000004,0.6600000000000004,1.783800115726722,0.6600000000000004,1.732090858924872,0.6600000000000004,1.731049702335845
0.6700000000000004,0.6700000000000004,0.6700000000000004,1.782024500655466,0.6700000000000004,1.725439464490358,0.6700000000000004,1.723361657221098
0.6800000000000004,0.6800000000000004,0.6800000000000004,1.780114533977218,0.6800000000000004,1.718283339160793,0.6800000000000004,1.71497487379168
0.6900000000000004,0.6900000000000004,0.6900000000000004,1.778063180224505,0.6900000000000004,1.710571563756468,0.6900000000000004,1.705807742265492
0.7000000000000004,0.7000000000000004,0.7000000000000004,1.775862723644527,0.7000000000000004,1.702241413464015,0.7000000000000004,1.6957574565328
0.7100000000000004,0.7100000000000004,0.7100000000000004,1.773504633308555,0.7100000000000004,1.693214547997917,0.7100000000000004,1.684691645961241
0.7200000000000004,0.7200000000000004,0.7200000000000004,1.770979403737789,0.7200000000000004,1.683391503103002,0.7200000000000004,1.67243542270173
0.7300000000000004,0.7300000000000004,0.7300000000000004,1.76827636500145,0.7300000000000004,1.672643443891266,0.7300000000000004,1.658750316514128
0.7400000000000004,0.7400000000000004,0.7400000000000004,1.765383454291904,0.7400000000000004,1.660799299971802,0.7400000000000004,1.643297847826567
0.7500000000000004,0.7500000000000004,0.7500000000000004,1.762286938291981,0.7500000000000004,1.647624668556801,0.7500000000000004,1.62557138266281
0.7600000000000005,0.7600000000000005,0.7600000000000005,1.758971071894375,0.7600000000000005,1.632784997200067,0.7600000000000005,1.604754540662407
0.7700000000000005,0.7700000000000005,0.7700000000000005,1.755417673508093,0.7700000000000005,1.615775983315418,0.7700000000000005,1.579380131583988
0.7800000000000005,0.7800000000000005,0.7800000000000005,1.751605589501957,0.7800000000000005,1.595777187100544,0.7800000000000005,1.546303513725929
0.7900000000000005,0.7900000000000005,0.7900000000000005,1.747510009023806,0.7900000000000005,1.571294762493819,0.7900000000000005,1.496320595847886
0.8000000000000005,0.8000000000000005,0.8000000000000005,1.743101522030661,0.8000000000000005,1.538992022728035,0.8000000000000005,1.389308505453135
0.8100000000000005,0.8100000000000005,0.8100000000000005,1.738345131949067,0.8100000000000005,1.489330259732919,0.8100000000000005,1.173202158308154
0.8200000000000005,0.8200000000000005,0.8200000000000005,1.733198397113557,0.8200000000000005,1.397426760047713,0.8200000000000005,0.8684972555708736
0.8300000000000005,0.8300000000000005,0.8300000000000005,1.727609409287538,0.8300000000000005,1.252476297272079,0.8300000000000005,0.6352521941323823
0.8400000000000005,0.8400000000000005,0.8400000000000005,1.721513652740225,0.8400000000000005,1.063961017197569,0.8400000000000005,0.4604461787440323
0.8500000000000005,0.8500000000000005,0.8500000000000005,1.714829486830166,0.8500000000000005,0.8503466467957769,0.8500000000000005,0.3397157433693898
0.8600000000000005,0.8600000000000005,0.8600000000000005,1.707451329967067,0.8600000000000005,0.6372453828301368,0.8600000000000005,0.2667532266662968
0.8700000000000006,0.8700000000000006,0.8700000000000006,1.699238934217915,0.8700000000000006,0.4528669753044186,0.8700000000000006,0.2249590992669472
0.8800000000000006,0.8800000000000006,0.8800000000000006,1.689999615225082,0.8800000000000006,0.3196545090185637,0.8800000000000006,0.1977783587049438
0.8900000000000006,0.8900000000000006,0.8900000000000006,1.679456834837002,0.8900000000000006,0.2413649652279727,0.8900000000000006,0.1775131402726012
0.9000000000000006,0.9000000000000006,0.9000000000000006,1.667189760312762,0.9000000000000006,0.1998774029238919,0.9000000000000006,0.1612012661130664
0.9100000000000006,0.9100000000000006,0.9100000000000006,1.652509887423939,0.9100000000000006,0.1737598206824399,0.9100000000000006,0.1474741263197368
0.9200000000000006,0.9200000000000006,0.9200000000000006,1.634114741467287,0.9200000000000006,0.154800163100391,0.9200000000000006,0.1356025004565446
0.9300000000000006,0.9300000000000006,0.9300000000000006,1.609055988552447,0.9300000000000006,0.1396253358896103,0.9300000000000006,0.1251266857435915
0.9400000000000006,0.9400000000000006,0.9400000000000006,1.567843487011117,0.9400000000000006,0.1269532733847486,0.9400000000000006,0.1157506517614681
0.9500000000000006,0.9500000000000006,0.9500000000000006,1.472808711281214,0.9500000000000006,0.1160649876602922,0.9500000000000006,0.1072686336987803
0.9600000000000006,0.9600000000000006,0.9600000000000006,1.305586019222472,0.9600000000000006,0.1065124635711674,0.9600000000000006,0.09952911251629289
0.9700000000000006,0.9700000000000006,0.9700000000000006,1.071660898045972,0.9700000000000006,0.09801307374279337,0.9700000000000006,0.09242120917759472
0.9800000000000006,0.9800000000000006,0.9800000000000006,0.7997316935318096,0.9800000000000006,0.09036315860442024,0.9800000000000006,0.08585769645987773
0.9900000000000007,0.9900000000000007,0.9900000000000007,0.5399076983867738,0.9900000000000007,0.08341703064508789,0.9900000000000007,0.07977034623354087
1.000000000000001,1.000000000000001,1.000000000000001,0.3581132941564016,1.000000000000001,0.07706599037001315,1.000000000000001,0.07410459649432352
1.010000000000001,1.010000000000001,1.010000000000001,0.2727946598283507,1.010000000000001,0.07122586630051046,1.010000000000001,0.06881574673012551
1.020000000000001,1.020000000000001,1.020000000000001,0.2288207723292237,1.020000000000001,0.06583143713246035,1.020000000000001,0.06386728398534676
1.030000000000001,1.030000000000001,1.030000000000001,0.1982051190634694,1.030000000000001,0.06083027024616199,1.030000000000001,0.05922860285604586
1.040000000000001,1.040000000000001,1.040000000000001,0.1745881765205532,1.040000000000001,0.05618017258623521,1.040000000000001,0.05487407782491933
1.050000000000001,1.050000000000001,1.050000000000001,0.1551683612940227,1.050000000000001,0.05184618319243642,1.050000000000001,0.05078176049730169
1.060000000000001,1.060000000000001,1.060000000000001,0.138688220786543,1.060000000000001,0.0477993531142054,1.060000000000001,0.04693287567166592
