Corner,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,cr018gpii_v1d0.scs,temperature,vcontrol,vdd,Pass/Fail,Frequency
C0_134,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.417e9
C0_86,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.424e9
C0_122,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.424e9
C0_89,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.439e9
C0_125,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.439e9
C0_20,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.439e9
C0_56,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.439e9
C0_11,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.448e9
C0_47,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.78,,1.448e9
C0_23,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.452e9
C0_59,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.452e9
C0_14,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.464e9
C0_50,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.8,,1.464e9
C0_26,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.465e9
C0_62,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.465e9
C0_17,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.479e9
C0_53,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,80,1.8,1.82,,1.479e9
C0_91,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.499e9
C0_127,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.499e9
C0_82,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.507e9
C0_118,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.507e9
C0_94,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.514e9
C0_130,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.514e9
C0_85,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.525e9
C0_121,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.525e9
C0_97,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.527e9
C0_133,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.527e9
C0_88,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.542e9
C0_124,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.82,,1.542e9
C0_90,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.545e9
C0_126,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.545e9
C0_81,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.547e9
C0_117,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.78,,1.547e9
C0_19,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.554e9
C0_55,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.554e9
C0_93,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.561e9
C0_129,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.561e9
C0_10,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.561e9
C0_46,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.78,,1.561e9
C0_84,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.566e9
C0_120,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.8,,1.566e9
C0_22,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.57e9
C0_58,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.57e9
C0_96,sf,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.575e9
C0_132,sf,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ss_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,0,1.8,1.82,,1.575e9
C0_13,fs,ff_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.579e9
C0_49,fs,ss_mim,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,ff_res,nom,nom,nom,nom,nom,nom,nom,nom,nom,nom,stat_noise,nom,nom,nom,nom,nom,nom,nom,nom,nom,25,1.8,1.8,,1.579e9
